SysDate-ms	SysDate	SysTime-ms	SameValues	Q	SMM_Time	SysMemoryLoad	P	K3	Rm	K2	Q1	P1	I2	I1	Q3	U2	Ap	P3	Q2	U1	f	P2	SysCpuLoad	SMX_SysDateTime	I3	Am	K1	Rp	U3	
03/13/2018 21:10:30 001	03/13/2018 21:10:30	001	0																					03/13/2018 21:10:29						
03/13/2018 21:10:31 002	03/13/2018 21:10:31	002	0			52.03678847630464																	84.77644501495784	03/13/2018 21:10:31						
03/13/2018 21:10:32 002	03/13/2018 21:10:32	002	0			52.06892733914846																	84.77644501495784	03/13/2018 21:10:31						
03/13/2018 21:10:33 001	03/13/2018 21:10:33	001	0			52.05807090780092																	85.0594604928236	03/13/2018 21:10:33						
03/13/2018 21:10:34 000	03/13/2018 21:10:34	000	0			51.85835083155721																	81.59878379422645	03/13/2018 21:10:33						
03/13/2018 21:10:35 000	03/13/2018 21:10:35	000	0			51.81451858781263																	82.42789303090996	03/13/2018 21:10:34						
03/13/2018 21:10:36 002	03/13/2018 21:10:36	002	0			51.90612869462413																	77.81084301291426	03/13/2018 21:10:36						
03/13/2018 21:10:37 002	03/13/2018 21:10:37	002	0			52.03654934786086																	69.56883249187254	03/13/2018 21:10:37						
03/13/2018 21:10:38 000	03/13/2018 21:10:38	000	0			52.02999722850134																	79.69221952818165	03/13/2018 21:10:37						
03/13/2018 21:10:39 000	03/13/2018 21:10:39	000	0			51.93910450702117																	79.05183014630659	03/13/2018 21:10:39						
03/13/2018 21:10:40 004	03/13/2018 21:10:40	004	0			51.88355496953145																	82.51232126979964	03/13/2018 21:10:40						
03/13/2018 21:10:41 000	03/13/2018 21:10:41	000	0			51.92659808941156																	83.53340611121074	03/13/2018 21:10:41						
03/13/2018 21:10:42 001	03/13/2018 21:10:42	001	0			51.931500222509015																	84.32364111301446	03/13/2018 21:10:42						
03/13/2018 21:10:43 000	03/13/2018 21:10:43	000	0			51.986284548978645																	88.15378950545578	03/13/2018 21:10:43						
03/13/2018 21:10:44 000	03/13/2018 21:10:44	000	0			52.01796906777928																	85.13735214325014	03/13/2018 21:10:43						
03/13/2018 21:10:45 001	03/13/2018 21:10:45	001	0			51.992501888516884																	81.50543386497	03/13/2018 21:10:45						
03/13/2018 21:10:46 000	03/13/2018 21:10:46	000	0			51.992501888516884																	81.50543386497	03/13/2018 21:10:46						
03/13/2018 21:10:47 002	03/13/2018 21:10:47	002	0			52.03530587995321																	84.14212037953686	03/13/2018 21:10:47						
03/13/2018 21:10:48 000	03/13/2018 21:10:48	000	0			52.03518631573133																	82.02642229702897	03/13/2018 21:10:47						
03/13/2018 21:10:49 003	03/13/2018 21:10:49	003	0			51.98226719112317																	82.79061137861245	03/13/2018 21:10:49						
03/13/2018 21:10:50 002	03/13/2018 21:10:50	002	0			52.038008031367916																	83.76030605900932	03/13/2018 21:10:49						
03/13/2018 21:10:51 002	03/13/2018 21:10:51	002	0			52.01127347135349																	81.5517120271137	03/13/2018 21:10:51						
03/13/2018 21:10:52 003	03/13/2018 21:10:52	003	0			51.961989099090765																	86.83881272461068	03/13/2018 21:10:52						
03/13/2018 21:10:53 001	03/13/2018 21:10:53	001	0			51.925474185725804																	81.88709124897083	03/13/2018 21:10:53						
03/13/2018 21:10:54 000	03/13/2018 21:10:54	000	0			51.935924098718914																	81.32838693794628	03/13/2018 21:10:54						
03/13/2018 21:10:55 005	03/13/2018 21:10:55	005	0			51.88757232738693																	82.94666807833902	03/13/2018 21:10:55						
03/13/2018 21:10:56 003	03/13/2018 21:10:56	003	0			51.93427411245685																	81.20895164533803	03/13/2018 21:10:56						
03/13/2018 21:10:57 003	03/13/2018 21:10:57	003	0			51.958330433900954																	81.3565533305211	03/13/2018 21:10:57						
03/13/2018 21:10:58 005	03/13/2018 21:10:58	005	0			51.93109370415459																	80.77711180539355	03/13/2018 21:10:58						
03/13/2018 21:10:59 000	03/13/2018 21:10:59	000	0			51.92635896096778																	83.81697005611744	03/13/2018 21:10:59						
