SysDate-ms	SysDate	SysTime-ms	SameValues	U1	U2	U3	
05/17/2019 22:08:49 000	05/17/2019 22:08:49	000	0			
05/17/2019 22:08:50 000	05/17/2019 22:08:50	000	1			
05/17/2019 22:08:51 001	05/17/2019 22:08:51	001	1			
05/17/2019 22:08:52 000	05/17/2019 22:08:52	000	1			
05/17/2019 22:08:53 000	05/17/2019 22:08:53	000	1			
05/17/2019 22:08:54 001	05/17/2019 22:08:54	001	1			
SysDate-ms	SysDate	SysTime-ms	SameValues	U1	U2	U3	
05/17/2019 22:09:37 001	05/17/2019 22:09:37	001	0			
05/17/2019 22:09:38 001	05/17/2019 22:09:38	001	1			
05/17/2019 22:09:39 000	05/17/2019 22:09:39	000	1			
05/17/2019 22:09:40 000	05/17/2019 22:09:40	000	1			
05/17/2019 22:09:41 001	05/17/2019 22:09:41	001	1			
05/17/2019 22:09:42 000	05/17/2019 22:09:42	000	1			
05/17/2019 22:09:43 000	05/17/2019 22:09:43	000	1			
05/17/2019 22:09:44 001	05/17/2019 22:09:44	001	1			
05/17/2019 22:09:45 001	05/17/2019 22:09:45	001	1			
05/17/2019 22:09:46 001	05/17/2019 22:09:46	001	1			
05/17/2019 22:09:47 001	05/17/2019 22:09:47	001	1			
05/17/2019 22:09:48 001	05/17/2019 22:09:48	001	1			
05/17/2019 22:09:49 000	05/17/2019 22:09:49	000	1			
05/17/2019 22:09:50 001	05/17/2019 22:09:50	001	1			
05/17/2019 22:09:51 000	05/17/2019 22:09:51	000	1			
05/17/2019 22:09:52 000	05/17/2019 22:09:52	000	1			
05/17/2019 22:09:53 001	05/17/2019 22:09:53	001	1			
05/17/2019 22:09:54 001	05/17/2019 22:09:54	001	1			
SysDate-ms	SysDate	SysTime-ms	SameValues	U1	U2	U3	
05/17/2019 22:10:25 000	05/17/2019 22:10:25	000	0			
05/17/2019 22:10:26 001	05/17/2019 22:10:26	001	1			
05/17/2019 22:10:27 000	05/17/2019 22:10:27	000	1			
05/17/2019 22:10:28 001	05/17/2019 22:10:28	001	1			
05/17/2019 22:10:29 000	05/17/2019 22:10:29	000	1			
05/17/2019 22:10:30 001	05/17/2019 22:10:30	001	1			
05/17/2019 22:10:31 000	05/17/2019 22:10:31	000	1			
05/17/2019 22:10:32 001	05/17/2019 22:10:32	001	1			
05/17/2019 22:10:33 001	05/17/2019 22:10:33	001	1			
05/17/2019 22:10:34 000	05/17/2019 22:10:34	000	1			
05/17/2019 22:10:35 001	05/17/2019 22:10:35	001	1			
05/17/2019 22:10:36 000	05/17/2019 22:10:36	000	1			
05/17/2019 22:10:37 001	05/17/2019 22:10:37	001	1			
05/17/2019 22:10:38 000	05/17/2019 22:10:38	000	1			
05/17/2019 22:10:39 000	05/17/2019 22:10:39	000	1			
05/17/2019 22:10:40 001	05/17/2019 22:10:40	001	1			
05/17/2019 22:10:41 000	05/17/2019 22:10:41	000	1			
05/17/2019 22:10:42 001	05/17/2019 22:10:42	001	1			
05/17/2019 22:10:43 000	05/17/2019 22:10:43	000	1			
05/17/2019 22:10:44 000	05/17/2019 22:10:44	000	1			
05/17/2019 22:10:45 001	05/17/2019 22:10:45	001	1			
05/17/2019 22:10:46 001	05/17/2019 22:10:46	001	1			
05/17/2019 22:10:47 000	05/17/2019 22:10:47	000	1			
05/17/2019 22:10:48 001	05/17/2019 22:10:48	001	1			
05/17/2019 22:10:49 000	05/17/2019 22:10:49	000	1			
05/17/2019 22:10:50 000	05/17/2019 22:10:50	000	1			
05/17/2019 22:10:51 000	05/17/2019 22:10:51	000	1			
05/17/2019 22:10:52 001	05/17/2019 22:10:52	001	1			
05/17/2019 22:10:53 001	05/17/2019 22:10:53	001	1			
05/17/2019 22:10:54 001	05/17/2019 22:10:54	001	1			
05/17/2019 22:10:55 000	05/17/2019 22:10:55	000	1			
05/17/2019 22:10:56 001	05/17/2019 22:10:56	001	1			
05/17/2019 22:10:57 000	05/17/2019 22:10:57	000	1			
05/17/2019 22:10:58 000	05/17/2019 22:10:58	000	1			
05/17/2019 22:10:59 001	05/17/2019 22:10:59	001	1			
05/17/2019 22:11:00 001	05/17/2019 22:11:00	001	1			
05/17/2019 22:11:01 000	05/17/2019 22:11:01	000	1			
05/17/2019 22:11:02 001	05/17/2019 22:11:02	001	1			
05/17/2019 22:11:03 000	05/17/2019 22:11:03	000	1			
05/17/2019 22:11:04 001	05/17/2019 22:11:04	001	1			
05/17/2019 22:11:05 000	05/17/2019 22:11:05	000	1			
05/17/2019 22:11:06 001	05/17/2019 22:11:06	001	1			
05/17/2019 22:11:07 000	05/17/2019 22:11:07	000	1			
05/17/2019 22:11:08 000	05/17/2019 22:11:08	000	1			
05/17/2019 22:11:09 001	05/17/2019 22:11:09	001	1			
05/17/2019 22:11:10 001	05/17/2019 22:11:10	001	1			
05/17/2019 22:11:11 000	05/17/2019 22:11:11	000	1			
05/17/2019 22:11:12 000	05/17/2019 22:11:12	000	1			
05/17/2019 22:11:13 000	05/17/2019 22:11:13	000	1			
05/17/2019 22:11:14 001	05/17/2019 22:11:14	001	1			
05/17/2019 22:11:15 000	05/17/2019 22:11:15	000	1			
05/17/2019 22:11:16 001	05/17/2019 22:11:16	001	1			
05/17/2019 22:11:17 000	05/17/2019 22:11:17	000	1			
05/17/2019 22:11:18 000	05/17/2019 22:11:18	000	1			
05/17/2019 22:11:19 001	05/17/2019 22:11:19	001	1			
05/17/2019 22:11:20 000	05/17/2019 22:11:20	000	1			
05/17/2019 22:11:21 000	05/17/2019 22:11:21	000	1			
05/17/2019 22:11:22 000	05/17/2019 22:11:22	000	1			
05/17/2019 22:11:23 001	05/17/2019 22:11:23	001	1			
05/17/2019 22:11:24 000	05/17/2019 22:11:24	000	1			
05/17/2019 22:11:25 001	05/17/2019 22:11:25	001	1			
05/17/2019 22:11:26 000	05/17/2019 22:11:26	000	1			
05/17/2019 22:11:27 001	05/17/2019 22:11:27	001	1			
05/17/2019 22:11:28 000	05/17/2019 22:11:28	000	1			
05/17/2019 22:11:29 000	05/17/2019 22:11:29	000	1			
05/17/2019 22:11:30 001	05/17/2019 22:11:30	001	1			
05/17/2019 22:11:31 001	05/17/2019 22:11:31	001	1			
05/17/2019 22:11:32 000	05/17/2019 22:11:32	000	1			
05/17/2019 22:11:33 000	05/17/2019 22:11:33	000	1			
05/17/2019 22:11:34 001	05/17/2019 22:11:34	001	1			
05/17/2019 22:11:35 000	05/17/2019 22:11:35	000	1			
05/17/2019 22:11:36 000	05/17/2019 22:11:36	000	1			
05/17/2019 22:11:37 000	05/17/2019 22:11:37	000	1			
05/17/2019 22:11:38 001	05/17/2019 22:11:38	001	1			
05/17/2019 22:11:39 000	05/17/2019 22:11:39	000	1			
05/17/2019 22:11:40 001	05/17/2019 22:11:40	001	1			
05/17/2019 22:11:41 000	05/17/2019 22:11:41	000	1			
05/17/2019 22:11:42 000	05/17/2019 22:11:42	000	1			
05/17/2019 22:11:43 001	05/17/2019 22:11:43	001	1			
05/17/2019 22:11:44 001	05/17/2019 22:11:44	001	1			
05/17/2019 22:11:45 000	05/17/2019 22:11:45	000	1			
05/17/2019 22:11:46 000	05/17/2019 22:11:46	000	1			
05/17/2019 22:11:47 001	05/17/2019 22:11:47	001	1			
05/17/2019 22:11:48 000	05/17/2019 22:11:48	000	1			
05/17/2019 22:11:49 001	05/17/2019 22:11:49	001	1			
05/17/2019 22:11:50 000	05/17/2019 22:11:50	000	1			
05/17/2019 22:11:51 001	05/17/2019 22:11:51	001	1			
05/17/2019 22:11:52 000	05/17/2019 22:11:52	000	1			
05/17/2019 22:11:53 001	05/17/2019 22:11:53	001	1			
05/17/2019 22:11:54 000	05/17/2019 22:11:54	000	1			
05/17/2019 22:11:55 000	05/17/2019 22:11:55	000	1			
05/17/2019 22:11:56 001	05/17/2019 22:11:56	001	1			
05/17/2019 22:11:57 000	05/17/2019 22:11:57	000	1			
05/17/2019 22:11:58 000	05/17/2019 22:11:58	000	1			
05/17/2019 22:11:59 001	05/17/2019 22:11:59	001	1			
05/17/2019 22:12:00 001	05/17/2019 22:12:00	001	1			
05/17/2019 22:12:01 000	05/17/2019 22:12:01	000	1			
05/17/2019 22:12:02 001	05/17/2019 22:12:02	001	1			
05/17/2019 22:12:03 000	05/17/2019 22:12:03	000	1			
05/17/2019 22:12:04 000	05/17/2019 22:12:04	000	1			
05/17/2019 22:12:05 000	05/17/2019 22:12:05	000	1			
05/17/2019 22:12:06 001	05/17/2019 22:12:06	001	1			
05/17/2019 22:12:07 001	05/17/2019 22:12:07	001	1			
05/17/2019 22:12:08 000	05/17/2019 22:12:08	000	1			
05/17/2019 22:12:09 000	05/17/2019 22:12:09	000	1			
05/17/2019 22:12:10 000	05/17/2019 22:12:10	000	1			
05/17/2019 22:12:11 001	05/17/2019 22:12:11	001	1			
05/17/2019 22:12:12 001	05/17/2019 22:12:12	001	1			
05/17/2019 22:12:13 000	05/17/2019 22:12:13	000	1			
05/17/2019 22:12:14 001	05/17/2019 22:12:14	001	1			
05/17/2019 22:12:15 001	05/17/2019 22:12:15	001	1			
05/17/2019 22:12:16 000	05/17/2019 22:12:16	000	1			
05/17/2019 22:12:17 000	05/17/2019 22:12:17	000	1			
05/17/2019 22:12:18 001	05/17/2019 22:12:18	001	1			
05/17/2019 22:12:19 000	05/17/2019 22:12:19	000	1			
05/17/2019 22:12:20 000	05/17/2019 22:12:20	000	1			
05/17/2019 22:12:21 001	05/17/2019 22:12:21	001	1			
05/17/2019 22:12:22 000	05/17/2019 22:12:22	000	1			
05/17/2019 22:12:23 000	05/17/2019 22:12:23	000	1			
05/17/2019 22:12:24 000	05/17/2019 22:12:24	000	1			
05/17/2019 22:12:25 001	05/17/2019 22:12:25	001	1			
05/17/2019 22:12:26 000	05/17/2019 22:12:26	000	1			
05/17/2019 22:12:27 001	05/17/2019 22:12:27	001	1			
05/17/2019 22:12:28 000	05/17/2019 22:12:28	000	1			
05/17/2019 22:12:29 001	05/17/2019 22:12:29	001	1			
05/17/2019 22:12:30 000	05/17/2019 22:12:30	000	1			
05/17/2019 22:12:31 000	05/17/2019 22:12:31	000	1			
